Title,City,State,Group,Ideology,Headquarters,Statewide,Year
Israelite School of Universal Practical Knowledge,St. Louis,Missouri,,Black Separatist,,,2019
Israelite School of Universal Practical Knowledge,Syracuse,New York,,Black Separatist,,,2019
Israelite School of Universal Practical Knowledge,Tampa,Florida,,Black Separatist,,,2019
Israelite School of Universal Practical Knowledge,Washington,District of Columbia,,Black Separatist,,,2019
Israelite School of Universal Practical Knowledge,Wilmington,Delaware,,Black Separatist,,,2019
Israelite School of Universal Practical Knowledge,Winston-Salem,North Carolina,,Black Separatist,,,2019
Israelite the Branches,Baltimore,Maryland,,Black Separatist,Yes,,2019
Israelites Saints of Christ,Richmond,Virginia,,Black Separatist,Yes,,2019
Israelites Saints of Christ,,New Jersey,,Black Separatist,,Yes,2019
Israelites Saints of Christ,,North Carolina,,Black Separatist,,Yes,2019
Israelites Saints of Christ,,California,,Black Separatist,,Yes,2019
Israelites Saints of Christ,Detroit,Michigan,,Black Separatist,,,2019
Israelites Saints of Christ,Huntsville,Alabama,,Black Separatist,,,2019
Lion of Judah - Jeshurun Lions,Chicago,Illinois,,Black Separatist,Yes,,2019
Lions of Israel,Mount Vernon,New York,,Black Separatist,Yes,,2019
Masharah Yasharahla - Government of Israel,Raleigh,North Carolina,,Black Separatist,Yes,,2019
Mountains of Israel,Houston,Texas,,Black Separatist,Yes,,2019
Nation of Islam,Chicago,Illinois,Nation of Islam,Black Separatist,Yes,,2019
Nation of Islam,Akron,Ohio,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Atlanta,Georgia,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Austin,Texas,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Birmingham,Alabama,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Brooklyn,New York,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Brunswick,Georgia,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Camden,New Jersey,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Charlotte,North Carolina,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Chattanooga,Tennessee,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Cleveland,Ohio,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Columbia,South Carolina,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Compton,California,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Dallas,Texas,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Dayton,Ohio,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Denver,Colorado,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Detroit,Michigan,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Dorchester,Massachusetts,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Durham,North Carolina,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Fort Lauderdale,Florida,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Fort Worth,Texas,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Grand Rapids,Michigan,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Greensboro,North Carolina,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Greenville,South Carolina,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Houston,Texas,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Indianapolis,Indiana,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Jacksonville,Florida,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Kansas City,Missouri,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Lexington,Kentucky,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Los Angeles,California,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Louisville,Kentucky,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Memphis,Tennessee,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Miami,Florida,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Milwaukee,Wisconsin,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Mobile,Alabama,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Monroe,Louisiana,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Montgomery,Alabama,Nation of Islam,Black Separatist,,,2019
Nation of Islam,New Orleans,Louisiana,Nation of Islam,Black Separatist,,,2019
Nation of Islam,New York,New York,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Newark,New Jersey,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Norfolk,Virginia,Nation of Islam,Black Separatist,,,2019
Nation of Islam,North Charleston,South Carolina,Nation of Islam,Black Separatist,,,2019
Nation of Islam,North Little Rock,Arkansas,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Oakland,California,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Oklahoma City,Oklahoma,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Pensacola,Florida,Nation of Islam,Black Separatist,,,2019
Nation of Islam,Philadelphia,Pennsylvania,Nation of Islam,Black Separatist,,,2019
